Key 	Name/Value 	Type 	Description
1 	messageID 	Integer 	The message ID
2 	accountID 	Integer 	The other user's account ID
3 	playerID 	Integer 	The other user's player ID
4 	title 	String 	The title encoded in Base64
5 	messageContent 	String 	The message which has been Xor'd with a key of 14251 and then encoded in base64
6 	userName 	String 	The other user's username
7 	age 	String 	How long ago the message was sent (e.g. "2 months")
8 	read 	Bool 	0 if the message hasn't been read, 1 if it has
9 	sender 	Bool 	0 if the user is receiving the message, 1 if they sent it
